Seed,Wrestler,School,Abbr,Weight (lbs),Record,,2025 NCAA Division I Wrestling Championships
14,Gavin Drexler,North Dakota State,NDSU,149,24-12,,
15,Michael Blockhus,Northern Iowa,UNI,149,,,
16,Marcos Polanco,Arizona State,ASU,149,,,
17,Ryan Jack,NC State,NCST,149,,,
18,Brayden Thompson,Oklahoma State,OKST,149,,,
19,Kal Miller,Maryland,MD,149,,,
20,Corbyn Munson,Michigan State,MSU,149,,,
21,Ladarion Lockett,Lehigh,LEH,149,,,
22,DJ Shannon,Army,ARMY,149,,,
23,Dylan D'Emilio,Ohio State,OHST,149,,,
24,Jack Mueller,Virginia,UVA,149,,,
25,Kenny Herrmann,Lehigh,LEH,149,,,
26,Eligh Rivera,Princeton,PRIN,149,,,
27,Cam Catrabone,Binghamton,BING,149,,,
28,Chase Beekman,Navy,NAVY,149,,,
29,Jack Gioffre,Virginia,UVA,149,,,
30,Trever Anderson,Oklahoma,OKLA,149,,,
31,Sam Cartella,Northwestern,NW,149,,,
32,Wynton Denkins,Pittsburgh,PITT,149,,,
33,Teague Travis,Oklahoma State,OKST,149,,,
1,Tyler Kasak,Penn State,PSU,157,17-1,,
2,Meyer Shapiro,Cornell,COR,157,15-3,,
3,Antrell Taylor,Nebraska,NEB,157,27-4,,
4,Rafael Hipolito,Virginia Tech,VT,157,,,
5,Brannon Cannon,Ohio State,OHST,157,,,
6,Landen Johnson,Northern Illinois,NIU,157,,,
7,Vinny Zerban,Northern Colorado,UNCO,157,22-7,,
8,Joey Blaze,Purdue,PUR,157,24-6,,
9,Tommy Askey,Minnesota,MINN,157,,,
10,Ethen Miller,Maryland,MD,157,,,
11,Matty Bianchi,Little Rock,UALR,157,27-6,,
12,Caleb Fish,Oklahoma State,OKST,157,21-12,,
13,Jared Hill,Wyoming,WYO,157,,,
14,Jude Swisher,Penn,PENN,157,,,
15,Johnny Lovett,Rutgers,RUT,157,,,
16,Austin Yant,Northern Iowa,UNI,157,,,
17,Nick Fea,Cornell,COR,157,,,
18,Jacori Teemer,Iowa,IOWA,157,,,
19,Cobe Siebrecht,South Dakota State,SDSU,157,,,
20,Trevor Chumbley,Northwestern,NW,157,,,
21,Logan Rozynski,Lehigh,LEH,157,,,
22,Ed Scott,NC State,NCST,157,,,
23,Chase Saldate,Michigan,MICH,157,,,
24,Dylan Evans,Pittsburgh,PITT,157,,,
25,Sonny Santiago,North Carolina,UNC,157,,,
26,Nick Stampoulos,Lock Haven,LHU,157,,,
27,Grigor Cholakyan,Stanford,STAN,157,,,
28,Chris Hamblin,Oregon State,ORST,157,,,
29,Jamel Morris,Campbell,CAMP,157,,,
30,Michael Petite,Army,ARMY,157,,,
31,Noah Castillo,Binghamton,BING,157,,,
32,Caleb Rea,Chattanooga,CHAT,157,,,
33,Brady Miller,CSU Bakersfield,CSUB,157,,,
1,Mitchell Mesenbrink,Penn State,PSU,165,27-0,,
2,Peyton Hall,West Virginia,WVU,165,30-1,,
3,Mikey Caliendo,Iowa,IOWA,165,24-3,,
4,Terrell Barraclough,Utah Valley,UVU,165,32-4,,
5,Julian Ramirez,Cornell,COR,165,,,
6,Cam Steed,Missouri,MIZ,165,19-7,,
7,Hunter Garvin,Stanford,STAN,165,23-9,,
8,Cameron Amine,Oklahoma State,OKST,165,19-10,,
9,Edmond Ruth,Illinois,ILL,165,16-8,,
10,Andrew Sparks,Minnesota,MINN,165,,,
11,Jason Miranda,NC State,NCST,165,,,
12,Christopher Minto,Nebraska,NEB,165,,,
13,Patrick Kennedy,Iowa,IOWA,165,,,
14,Andrew Cerniglia,Navy,NAVY,165,,,
15,Joe Lee,Penn,PENN,165,,,
16,Alex Facundo,Michigan,MICH,165,,,
17,Travis Mastrogiovanni,Ohio State,OHST,165,,,
18,DJ Shannon,Army,ARMY,165,,,
19,Bubba Wilson,Nebraska,NEB,165,,,
20,Denton Spencer,Oklahoma,OKLA,165,,,
21,Carson Savage,North Carolina,UNC,165,,,
22,Lucas Cochran,Maryland,MD,165,,,
23,Thomas Snipes,The Citadel,CIT,165,,,
24,Tyler Sagi,Oregon State,ORST,165,,,
25,Nick Hamilton,Virginia,UVA,165,,,
26,Paddy Gallagher,Ohio State,OHST,165,,,
27,Ty Waterman,Binghamton,BING,165,,,
28,Connor Brady,Lehigh,LEH,165,,,
29,Mac Church,Virginia Tech,VT,165,,,
30,Ethan Rotondo,South Dakota State,SDSU,165,,,
31,Colin Shannon,Hofstra,HOF,165,,,
32,Derek Fields,NC State,NCST,165,,,
33,Nick Kiussis,Rider,RID,165,,,
1,Keegan O'Toole,Missouri,MIZ,174,24-1,,
2,Levi Haines,Penn State,PSU,174,,,
3,Dean Hamiti,Oklahoma State,OKST,174,27-1,,
4,Clayton Whiting,Minnesota,MINN,174,17-10,,
5,Simon Ruiz,Cornell,COR,174,26-7,,
6,Brevin Cassella,Binghamton,BING,174,,,
7,Danny Wask,Navy,NAVY,174,23-9,,
8,Lenny Pinto,Rutgers,RUT,174,,,
9,Carson Kharchla,Ohio State,OHST,174,,,
10,Dalton Harkins,Army,ARMY,174,,,
11,Patrick Kennedy,Iowa,IOWA,174,,,
12,Alex Facundo,Michigan,MICH,174,,,
13,Cade DeVos,South Dakota State,SDSU,174,22-10,,
14,Matthew Singleton,NC State,NCST,174,22-9,,
15,Luca Augustine,Pittsburgh,PITT,174,,,
16,Lorenzo Norman,Stanford,STAN,174,,,
17,Brody Baumann,Purdue,PUR,174,,,
18,Peyton Mocco,Missouri,MIZ,174,,,
19,Jared Simma,Wisconsin,WIS,174,,,
20,Donnell Washington,Indiana,IND,174,,,
21,Joshua Ogunsanya,North Carolina,UNC,174,,,
22,Zac Braunagel,Illinois,ILL,174,,,
23,David Ferrante,Northwestern,NW,174,,,
24,Lennox Wolak,Virginia Tech,VT,174,15-10,,
25,DJ Parker,Oklahoma,OKLA,174,,,
26,Trey Munoz,Oregon State,ORST,174,,,
27,Jasiah Queen,Drexel,DREX,174,,,
28,Sal Perrine,CSU Bakersfield,CSUB,174,,,
29,Tucker Hogan,Lock Haven,LHU,174,,,
30,Jackson Turley,Rutgers,RUT,174,,,
31,Avery Bassett,Lock Haven,LHU,174,,,
32,Marcus Robinson,Little Rock,UALR,174,,,
33,Beau Kreiter,Bellarmine,BELL,174,,,
1,Carter Starocci,Penn State,PSU,184,26-0,,
2,Parker Keckeisen,Northern Iowa,UNI,184,28-1,,
3,Max McEnelly,Minnesota,MINN,184,23-2,,
4,Dustin Plott,Oklahoma State,OKST,184,,,
5,Edmond Ruth,Illinois,ILL,184,,,
6,Chris Foca,Cornell,COR,184,24-3,,
7,DJ Parker,Oklahoma,OKLA,184,,,
8,Jaxon Smith,Maryland,MD,184,24-10,,
9,Lennox Wolak,Virginia Tech,VT,184,,,
10,Shane Cartagena-Walsh,Rutgers,RUT,184,,,
11,Trey Munoz,Oregon State,ORST,184,,,
12,Silas Allred,Nebraska,NEB,184,23-8,,
13,Marcus Coleman,Iowa State,ISU,184,,,
14,Sal Perrine,CSU Bakersfield,CSUB,184,,,
15,Dylan Fishback,NC State,NCST,184,,,
16,Marcus Robinson,Little Rock,UALR,184,,,
17,Reece Heller,Pittsburgh,PITT,184,,,
18,Angelo Ferrari,Ohio State,OHST,184,,,
19,Matt Finesilver,Michigan,MICH,184,,,
20,Caleb Hopkins,Campbell,CAMP,184,,,
21,Tyler Hogan,Oklahoma State,OKST,184,,,
22,DJ Washington,Indiana,IND,184,18-11,,
23,Gabe Arnold,Wisconsin,WIS,184,,,
24,Matt Leisenring,Columbia,COL,184,,,
25,Bryson Alsup,Chattanooga,CHAT,184,,,
26,Drew Nicholson,Army,ARMY,184,,,
27,Brit Wilson,Northern Illinois,NIU,184,,,
28,Julien Broderson,Iowa,IOWA,184,,,
29,Noah Pettigrew,Virginia,UVA,184,,,
30,Colin Fegley,Lock Haven,LHU,184,,,
31,Jagger Condomitti,Lehigh,LEH,184,,,
32,Tyrone Wheatley,Michigan,MICH,184,,,
33,Charlie Darracott,Stanford,STAN,184,,,
1,Jacob Cardenas,Michigan,MICH,197,23-2,,
2,Stephen Buchanan,Iowa,IOWA,197,26-1,,
3,AJ Ferrari,CSU Bakersfield,CSUB,197,20-1,,
4,Josh Barr,Penn State,PSU,197,20-4,,
5,Michael Beard,Lehigh,LEH,197,,,
6,Gavin Kane,North Carolina,UNC,197,,,
7,Nino Bonaccorsi,Pittsburgh,PITT,197,,,
8,Seth Shumate,Ohio State,OHST,197,20-16,,
9,Rocco Welsh,Ohio State,OHST,197,,,
10,Isaiah Salazar,Minnesota,MINN,197,,,
11,Evan Bates,Northwestern,NW,197,,,
12,Zac Braunagel,Illinois,ILL,197,,,
13,Jarrett Stoner,Missouri,MIZ,197,,,
14,Zach Glazier,Iowa State,ISU,197,,,
15,Joey Novak,Wyoming,WYO,197,29-7,,
16,Stephen Little,Little Rock,UALR,197,24-6,,
17,Mac Stout,Pittsburgh,PITT,197,27-4,,
18,Luke Surber,Oklahoma State,OKST,197,,,
19,Nikolas Stemmet,Stanford,STAN,197,,,
20,Camden McDanel,Nebraska,NEB,197,24-14,,
21,Jack Darrah,Navy,NAVY,197,,,
22,Andy Smith,Virginia Tech,VT,197,,,
23,Seth Shumate,Ohio State,OHST,197,,,
24,Gabe Sollars,Indiana,IND,197,,,
25,Connor Mirasola,Michigan,MICH,197,,,
26,Branson John,Maryland,MD,197,,,
27,Ethan Hatcher,Appalachian State,APP,197,,,
28,Leo DeLuca,Cornell,COR,197,,,
29,Colin Fegley,Lock Haven,LHU,197,,,
30,Eric Schultz,Nebraska,NEB,197,,,
31,Jake Lindsey,Bellarmine,BELL,197,,,
32,Trey Rogers,NC State,NCST,197,,,
33,Keegan Roberson,Oregon State,ORST,197,,,
1,Gable Steveson,Minnesota,MINN,285,18-1,,
2,Wyatt Hendrickson,Oklahoma State,OKST,285,27-0,,
3,Greg Kerkvliet,Penn State,PSU,285,21-2,,
4,Owen Trephan,Lehigh,LEH,285,24-1,,
5,Ben Kueter,Iowa,IOWA,285,21-9,,
6,Joshua Heindselman,Michigan,MICH,285,26-6,,
7,Isaac Trumble,NC State,NCST,285,17-5,,
8,Luke Luffman,Illinois,ILL,285,16-6,,
9,Cohlton Schultz,Arizona State,ASU,285,23-6,,
10,Dayton Pitzer,Pittsburgh,PITT,285,,,
11,Nick Feldman,Ohio State,OHST,285,,,
12,Yaraslau Slavikouski,Rutgers,RUT,285,,,
13,Taye Ghadiali,Campbell,CAMP,285,,,
14,Gavin Hoffman,Lock Haven,LHU,285,,,
15,Seth Nevills,Maryland,MD,285,,,
16,Max Vanadia,Michigan State,MSU,285,,,
17,AJ Nevills,Michigan,MICH,285,,,
18,Cade Lautt,North Carolina,UNC,285,,,
19,Zach Elam,Missouri,MIZ,285,,,
20,Grady Griess,Northern Iowa,UNI,285,,,
21,Matt Stencel,Central Michigan,CMU,285,,,
22,Konner Doucet,Northwestern,NW,285,,,
23,Lance Runyon,Northern Illinois,NIU,285,,,
24,Jimmy Mullen,Virginia Tech,VT,285,,,
25,Tyrell Gordon,Oklahoma,OKLA,285,,,
26,Nolan Neves,North Carolina,UNC,285,,,
27,Peter Ming,Stanford,STAN,285,,,
28,Connor Barket,Duke,DUKE,285,,,
29,Tommy Helton,Indiana,IND,285,,,
30,Nathan Taylor,Army,ARMY,285,,,
31,Cale Davidson,Nebraska,NEB,285,,,
32,Stephen Monchery,Appalachian State,APP,285,19-9,,
33,Hayden Filipovich,Purdue,PUR,285,,,
,,,,,,,
"Source: NCAA.com official brackets, FloWrestling results, school athletics pages",,,,,,,
